Timestamp,1QI1202B SENSOR TSP,1QI1202B.LAB_PH_OSA SENSOR TSP
42:20.0,7.759,7.9
42:50.0,7.748,7.9
44:50.0,7.748,7.9
45:20.0,7.76,7.9
47:50.0,7.76,7.9
48:20.0,7.748,7.9
49:50.0,7.748,7.9
50:20.0,7.734,7.9
50:50.0,7.748,7.9
51:50.0,7.748,7.9
52:20.0,7.76,7.9
52:50.0,7.746,7.9
53:20.0,7.76,7.9
53:50.0,7.771,7.9
55:50.0,7.771,7.9
56:20.0,7.76,7.9
58:20.0,7.76,7.9
58:50.0,7.748,7.9
00:20.0,7.748,7.9
00:50.0,7.76,7.9
01:20.0,7.771,7.9
01:50.0,7.744,7.9
02:20.0,7.758,7.9
02:50.0,7.747,7.9
03:20.0,7.757,7.9
03:50.0,7.757,7.9
04:20.0,7.746,7.9
05:50.0,7.746,7.9
06:20.0,7.757,7.9
08:50.0,7.757,7.9
09:20.0,7.771,7.9
09:50.0,7.76,7.9
11:20.0,7.76,7.9
11:50.0,7.748,7.9
12:20.0,7.748,7.9
12:50.0,7.76,7.9
13:20.0,7.772,7.9
13:50.0,7.772,7.9
14:20.0,7.758,7.9
15:50.0,7.758,7.9
16:20.0,7.746,7.9
16:50.0,7.746,7.9
17:20.0,7.757,7.9
17:50.0,7.734,7.9
18:20.0,7.76,7.9
19:50.0,7.76,7.9
20:20.0,7.774,7.9
20:50.0,7.774,7.9
21:20.0,7.757,7.9
21:50.0,7.757,7.9
22:20.0,7.769,7.9
23:50.0,7.769,7.9
24:20.0,7.757,7.9
24:50.0,7.757,7.9
25:20.0,7.741,7.9
25:50.0,7.753,7.9
26:50.0,7.753,7.9
27:20.0,7.769,7.9
27:50.0,7.756,7.9
28:20.0,7.746,7.9
29:20.0,7.746,7.9
29:50.0,7.756,7.9
30:20.0,7.766,7.9
30:50.0,7.766,7.9
31:20.0,7.778,7.9
34:20.0,7.778,7.9
34:50.0,7.766,7.9
35:50.0,7.766,7.9
36:20.0,7.78,7.9
38:20.0,7.78,7.9
38:50.0,7.769,7.9
39:20.0,7.757,7.9
43:20.0,7.757,7.9
43:50.0,7.769,7.9
44:20.0,7.748,7.9
44:50.0,7.764,7.9
45:20.0,7.764,7.9
45:50.0,7.776,7.9
47:50.0,7.776,7.9
48:20.0,7.787,7.9
49:20.0,7.787,7.9
49:50.0,7.776,7.9
50:20.0,7.763,7.9
50:50.0,7.776,7.9
51:50.0,7.776,7.9
52:20.0,7.788,7.9
52:50.0,7.788,7.9
53:20.0,7.799,7.9
53:50.0,7.788,7.9
03:20.0,7.788,7.9
03:50.0,7.788,7.9
05:20.0,7.788,7.9
05:50.0,7.776,7.9
06:20.0,7.776,7.9
06:50.0,7.786,7.9
09:20.0,7.786,7.9
09:50.0,7.797,7.9
10:20.0,7.797,7.9
10:50.0,7.809,7.9
13:50.0,7.809,7.9
14:20.0,7.794,7.9
15:50.0,7.794,7.9
16:20.0,7.807,7.9
16:50.0,7.795,7.9
17:20.0,7.795,7.9
17:50.0,7.806,7.9
20:20.0,7.806,7.9
20:50.0,7.795,7.9
22:20.0,7.795,7.9
22:50.0,7.807,7.9
25:20.0,7.807,7.9
25:50.0,7.819,7.9
26:50.0,7.819,7.9
27:20.0,7.805,7.9
27:50.0,7.805,7.9
28:20.0,7.821,7.9
28:50.0,7.81,7.9
29:20.0,7.821,7.9
32:50.0,7.821,7.9
33:20.0,7.81,7.9
33:50.0,7.81,7.9
34:20.0,7.821,7.9
34:50.0,7.821,7.9
35:20.0,7.809,7.9
35:50.0,7.809,7.9
36:20.0,7.797,7.9
36:50.0,7.797,7.9
37:20.0,7.809,7.9
38:20.0,7.809,7.9
38:50.0,7.82,7.9
44:20.0,7.82,7.9
44:50.0,7.835,7.9
46:20.0,7.835,7.9
46:50.0,7.823,7.9
47:20.0,7.835,7.9
56:20.0,7.835,7.9
56:50.0,7.847,7.9
57:50.0,7.847,7.9
58:20.0,7.832,7.9
02:20.0,7.832,7.9
02:50.0,7.847,7.9
04:50.0,7.847,7.9
05:20.0,7.832,7.9
06:20.0,7.832,7.9
06:50.0,7.821,7.9
07:20.0,7.821,7.9
07:50.0,7.821,7.9
08:20.0,7.821,7.9
08:50.0,7.809,7.9
09:20.0,7.821,7.9
10:20.0,7.821,7.9
10:50.0,7.833,7.9
11:20.0,7.833,7.9
11:50.0,7.844,7.9
13:20.0,7.844,7.9
13:50.0,7.832,7.9
14:20.0,7.832,7.9
14:50.0,7.847,7.9
15:20.0,7.847,7.9
15:50.0,7.835,7.9
17:20.0,7.835,7.9
17:50.0,7.823,7.9
19:20.0,7.823,7.9
19:50.0,7.835,7.9
21:50.0,7.835,7.9
22:20.0,7.847,7.9
22:50.0,7.835,7.9
24:20.0,7.835,7.9
24:50.0,7.824,7.9
28:20.0,7.824,7.9
28:50.0,7.837,7.9
33:20.0,7.837,7.9
33:50.0,7.826,7.9
34:20.0,7.826,7.9
34:50.0,7.839,7.9
